Category,precision,recall,f1-score,accuracy
Advertising,0.8,0.6829268292682927,0.7368421052631579,0.68
Analytics,0.8048780487804879,0.9166666666666666,0.8571428571428571,0.92
Application Development,0.8333333333333334,0.7352941176470589,0.78125,0.74
Backend,0.9230769230769231,0.8780487804878049,0.9,0.88
Banking,0.782608695652174,1.0,0.8780487804878049,1.0
Bitcoin,0.8648648648648649,0.9696969696969697,0.9142857142857143,0.97
Chat,0.9574468085106383,1.0,0.9782608695652174,1.0
Cloud,0.5818181818181818,0.9411764705882353,0.7191011235955056,0.94
Data,0.8823529411764706,0.8333333333333334,0.8571428571428571,0.83
Database,0.9696969696969697,0.7804878048780488,0.8648648648648649,0.78
Domains,0.8333333333333334,1.0,0.9090909090909091,1.0
Education,0.8,0.7346938775510204,0.7659574468085106,0.73
Email,0.8421052631578947,0.7619047619047619,0.8,0.76
Enterprise,0.5714285714285714,0.24,0.3380281690140845,0.24
Entertainment,0.8611111111111112,0.8857142857142857,0.8732394366197183,0.89
Events,0.9210526315789473,0.8974358974358975,0.9090909090909091,0.9
File Sharing,0.9285714285714286,1.0,0.9629629629629629,1.0
Financial,0.5925925925925926,0.43243243243243246,0.5,0.43
Games,0.84375,0.7941176470588235,0.8181818181818182,0.79
Government,0.6530612244897959,0.6956521739130435,0.6736842105263158,0.7
Images,0.9074074074074074,0.9607843137254902,0.9333333333333333,0.96
Internet of Things,0.7777777777777778,0.813953488372093,0.7954545454545454,0.81
Mapping,0.6938775510204082,0.8717948717948718,0.7727272727272727,0.87
Marketing,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.87
Media,0.9375,0.9375,0.9375,0.94
Medical,0.9111111111111111,0.9534883720930233,0.9318181818181818,0.95
Messaging,0.5714285714285714,0.8235294117647058,0.6746987951807228,0.82
Music,0.9047619047619048,0.95,0.926829268292683,0.95
News Services,0.9487179487179487,0.925,0.9367088607594937,0.92
Other,0.8846153846153846,0.71875,0.7931034482758621,0.72
Payments,0.75,0.7317073170731707,0.7407407407407407,0.73
Photos,0.8703703703703703,0.9791666666666666,0.9215686274509803,0.98
Project Management,0.7083333333333334,0.8717948717948718,0.7816091954022989,0.87
Real Estate,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9
Reference,0.2962962962962963,0.1951219512195122,0.23529411764705882,0.2
Science,0.6,0.5121951219512195,0.5526315789473685,0.51
Search,0.8,0.5714285714285714,0.6666666666666666,0.57
Security,0.5,0.4722222222222222,0.4857142857142857,0.47
Shipping,0.7272727272727273,1.0,0.8421052631578947,1.0
Social,0.5277777777777778,0.5428571428571428,0.5352112676056338,0.54
Sports,0.9512195121951219,0.8666666666666667,0.9069767441860465,0.87
Stocks,0.9347826086956522,0.9772727272727273,0.9555555555555556,0.98
Storage,0.9047619047619048,0.926829268292683,0.9156626506024096,0.93
Telephony,0.7105263157894737,0.6585365853658537,0.6835443037974683,0.66
Tools,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.18
Transportation,0.7777777777777778,0.6511627906976745,0.7088607594936709,0.65
Travel,0.7631578947368421,0.90625,0.8285714285714286,0.91
Video,0.7608695652173914,0.8974358974358975,0.8235294117647058,0.9
Weather,0.84,1.0,0.9130434782608695,1.0
eCommerce,0.5681818181818182,0.5952380952380952,0.5813953488372093,0.6
